Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
12/29/21,"Innovations Group, Inc.",10/27/21,772,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
12/22/21,Pro Wrestling Tees,4/1/21,581,Name; Financial & Banking Information
12/20/21,"J.C. Penney Corporation, Inc. Pension Plan",8/17/21,1147,Name; Full Date of Birth; Other
12/17/21,"Running Warehouse, LLC",10/1/21,17556,Financial & Banking Information; Email Address and Password/Security Question Answers
12/17/21,"Tennis Warehouse, LLC",10/1/21,18228,Financial & Banking Information; Email Address and Password/Security Question Answers
12/17/21,"Tackle Warehouse, LLC",10/1/21,10942,Financial & Banking Information; Email Address and Password/Security Question Answers
12/17/21,Heirloom Roses,2/12/21,3118,Name; Financial & Banking Information
12/17/21,"Skate Warehouse, LLC",10/1/21,8655,Financial & Banking Information; Email Address and Password/Security Question Answers
12/17/21,Integrated Services of Kalamazoo,3/29/21,1,Name; Social Security Number; Financial & Banking Information; Unique Private Key (e.g. used to authenticate or sign an electronic record); Email Address and Password/Security Question Answers
12/16/21,"Cirrus Asset Management, Inc.",11/11/21,568,Name; Social Security Number
12/14/21,"Cities Digital, Inc.",6/25/21,3000,Name; Full Date of Birth
12/13/21,Sound Generations,7/18/21,211097,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
12/10/21,"BioPlus Specialty Pharmacy Services, LLC",10/25/21,13357,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/9/21,"Mor Furniture for Less, Inc.",7/13/21,731,Name; Social Security Number; Financial & Banking Information
12/6/21,"Payday America, Inc.",9/28/21,5,Name; Social Security Number; Driver's License or Washington ID Card Number; Email Address and Password/Security Question Answers
12/6/21,"Pawn America Minnesota, LLC",9/28/21,748,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number; Email Address and Password/Security Question Answers
12/3/21,American Council for International Studies,5/25/21,3712,Name; Social Security Number; Full Date of Birth; Passport Number
12/1/21,"HealthCare, Inc.",9/19/21,625,Name; Full Date of Birth
11/30/21,"Cedar Grove Composting, Inc.",8/8/21,1596,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
11/30/21,Seneca Family of Agencies,8/25/21,1313,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Other
11/29/21,"DNA Diagnostics Center, Inc.",5/24/21,4278,Name; Social Security Number; Financial & Banking Information
11/24/21,Huntington Hospital,10/1/18,3,Name; Full Date of Birth; Medical Information; Other
11/23/21,"GoDaddy.com, LLC",9/6/21,9581,Unique Private Key (e.g. used to authenticate or sign an electronic record); Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
11/22/21,Boeing Employees Credit Union,10/9/21,657,Name; Financial & Banking Information; Other
11/22/21,Astoria Company LLC,1/19/21,22095,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
11/22/21,One Community Health,4/19/21,7945,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/18/21,"Utah Imaging Associates, Inc.",8/29/21,895,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/16/21,"Diode Dynamics, L.L.C.",9/26/20,1462,Name; Financial & Banking Information
11/15/21,Sea Mar Community Health Centers,,628569,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/15/21,California Pizza Kitchen,,1095,Name; Social Security Number
11/11/21,Opportunity Council,2/18/21,664,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number
11/10/21,Christensen O’Connor Johnson Kindness PLLC,12/24/20,815,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
11/9/21,Hoffman Construction Company,7/31/20,3078,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/8/21,"Insureon Holdings, LLC",,671,Name; Social Security Number; Full Date of Birth
10/29/21,"Goldwater Bank, N.A.",5/21/21,762,Name; Social Security Number; Financial & Banking Information
10/28/21,"Terrier Media Buyer, Inc. dba Cox Media Group",6/3/21,693,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
10/27/21,Primary Residential Mortgage,,1712,Name; Social Security Number; Driver's License or Washington ID Card Number
10/21/21,"Wallick & Volk, Inc.",8/2/21,1625,Name; Social Security Number; Financial & Banking Information
10/21/21,"SCUF Gaming International, LLC",2/3/21,691,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
10/20/21,Buddhist Tzu Chi Foundation,7/15/21,582,Name; Social Security Number; Email Address and Password/Security Question Answers
10/20/21,Abeo Solutions Inc. d/b/a Crystal Practice Management,,6141,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
10/20/21,"J.B. Hunt Transport, Inc.",8/17/20,3798,Name; Social Security Number
10/18/21,World Travel Holdings,7/1/21,1692,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Username and Password/Security Question Answers
10/14/21,The Public School and Education Employees Retirement Systems,9/11/21,532,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/14/21,"Elevated Title, LLC",7/21/20,685,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
10/13/21,American Osteopathic Association,6/25/20,4253,Social Security Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
10/11/21,University Medical Center of Southern Nevada (UMC),6/14/21,3572,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/8/21,Smile Brands Inc.,4/23/21,19235,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/8/21,"ReproSource Fertility Diagnostics, Inc.",8/8/21,7781,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers
10/4/21,Royell Manufacturing,7/1/21,1145,Name; Social Security Number; Financial & Banking Information
9/30/21,LPL Financial LLC,7/26/21,992,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
9/30/21,"The Neiman Marcus Group, LLC (“NMG” or the “Company”)",5/2/20,67410,Name; Financial & Banking Information; Username and Password/Security Question Answers
9/28/21,"Wm. G. Roe & Sons, Inc.",6/9/21,25,Name; Social Security Number
9/24/21,"Hattrup & Associates, P.S.",,2839,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
9/24/21,Zenith American Solutions,9/9/21,1687,Name; Social Security Number
9/24/21,Golden Entertainment,1/24/21,3223,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Military ID Number
9/22/21,"Epik Holdings, Inc.",9/13/21,2040,Name; Financial & Banking Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
9/21/21,"Dick Blick Holdings, Inc.",3/11/20,690,Name; Financial & Banking Information
9/3/21,Famous Smoke Shop,7/7/21,32950,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
8/30/21,"Hyphen, LLC",3/13/21,1331,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
8/27/21,"CareATC, Inc.",6/18/21,600,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/24/21,T-Mobile USA,7/22/21,2079648,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
8/24/21,"SmartStart Employment Screening, Inc.",,639,Name; Social Security Number
8/23/21,"American Freight, LLC",11/24/20,876,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
8/20/21,South Florida Community Care Network LLC,10/27/20,6,Name; Health Insurance Policy or ID Number; Medical Information
8/17/21,"BackNine Insurance and Financial Services, Inc.",,866,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
8/13/21,Destination Maternity,3/16/21,2237,Name; Social Security Number; Financial & Banking Information
8/9/21,"Spreadshirt, Inc.",,911,Name; Financial & Banking Information
8/6/21,Cohen Milstein Sellers & Toll PLLC,1/23/21,3956,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/6/21,"Ibex Global Solutions, Inc. (“Ibex”)",7/27/20,891,Name; Social Security Number; Full Date of Birth; Medical Information
8/4/21,Renton Regional Fire Authority,2/19/21,1334,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
7/30/21,Mandere Construction / Northwestern Building Components,,781,Name; Social Security Number
7/30/21,Motor Trend Group LLC,6/19/21,1600,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
7/30/21,WSSC Water,5/24/21,Unknown,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
7/29/21,"Grant Street Asset Management, Inc.",3/11/21,10,Email Address and Password/Security Question Answers
7/26/21,Transform SR Holding Management LLC,6/3/21,Unknown,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number
7/23/21,Savory Spice,4/5/18,2785,Name; Financial & Banking Information
7/23/21,Carnival Corporation and Plc,12/25/20,3,Financial & Banking Information; Full Date of Birth; Medical Information
7/14/21,"Resort Data Processing, Inc.",2/22/21,1669,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
7/13/21,"Arthur J. Gallagher & Co. (First Specialty Insurance Corp., Arch Insurance Co., Continental Casualty Co., Greenwich Insurance Co., Old Republic Insurance Co., First Group America, Inc., Mitsui Sumitomo Insurance Co., AmGUARD, EastGUARD, and NorGUARD Insurance Companies)",6/3/20,72378,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/13/21,King County Public Health Hospital District No. 2 Dba Evergreen Health,,20215,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/12/21,Clover Park School District,5/12/21,5872,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/9/21,"CSI Financial Services, LLC",3/8/21,4255,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/8/21,"Forefront Management, LLC and Forefront Dermatology, S.C.",5/28/21,877,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/8/21,CNA Financial Corporation,3/5/21,823,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/6/21,UniBank,6/9/21,11276,Name; Social Security Number; Driver's License or Washington ID Card Number
7/2/21,Morgan Stanley,,2080,Name; Social Security Number; Full Date of Birth; Other
7/2/21,"The Paradies Shops, LLC",10/8/20,657,Name; Financial & Banking Information
7/1/21,"Nevada Restaurant Services, Inc.",,3241,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number
6/30/21,Marsh McLennan,4/22/21,2550,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number; Health Insurance Policy or ID Number; Other
6/28/21,"Ankle and Foot Physicians and Surgeons, PLLC",4/25/21,4996,Name; Social Security Number; Full Date of Birth; Other
6/24/21,Washington State Department of Labor & Industries,,16466,Name; Full Date of Birth; Other
6/23/21,"Asset Marketing Services, LLC d/b/a GovMint.com",5/21/20,1332,Name; Financial & Banking Information; Other
6/22/21,Royal Caribbean Group,,502,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
6/22/21,Made In Oregon,9/1/20,840,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
6/22/21,Amgen Inc.,4/21/21,1179,Name; Other
6/18/21,"Maximus, Inc.",5/17/21,2560,Name; Social Security Number; Full Date of Birth; Other
6/18/21,"Herff Jones, LLC",8/16/20,17316,Name; Financial & Banking Information; Other
6/16/21,Buffalo State College Foundation,2/7/20,536,Name; Full Date of Birth
6/15/21,Washington State Department of Labor & Industries,,3000,Name; Other
6/11/21,Sincera Reproductive Medicine,8/10/20,9,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/8/21,"Progrexion ASG, Inc.",,150,Name; Financial & Banking Information; Other
6/4/21,"Pediatrix Cardiology of Washington, P.C. d/b/a NorthWest Congenital Heart Care",5/7/21,1136,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/4/21,Providence Health Plan,3/22/21,220,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
6/3/21,Supplemental Income 401(k) Plan,3/22/21,1085,Name; Social Security Number; Full Date of Birth; Other
6/2/21,"Asarco, LLC",3/1/21,670,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
6/1/21,American Councils for International Education,4/21/21,119,Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
5/28/21,"20/20 Eye Care Network, Inc.",1/11/21,690,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
5/28/21,"USA Waste-Management Resources, LLC",1/21/21,6225,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
5/28/21,Osborn Cancer Care,2/10/21,4305,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
5/27/21,Accucom Corporation,5/25/20,6829,Name; Financial & Banking Information; Other
5/25/21,Infinity Insurance Company,1/7/21,639,Name; Driver's License or Washington ID Card Number
5/25/21,"Sugarfina USA, LLC",11/1/19,1019,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
5/21/21,"Defender Industries, Inc.",,1208,Name; Financial & Banking Information; Other
5/19/21,Rehoboth McKinley Christian Health Care Services,1/21/21,1186,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
5/14/21,"Phillip Galyen, PC",,64,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
5/13/21,"American Family Mutual Insurance Company, S.I.",2/6/21,5246,Name; Driver's License or Washington ID Card Number
5/10/21,"Aspen Education Group, Inc.",12/13/20,1958,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
5/10/21,"Cougar Den, Inc.",11/1/20,757,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Biometric Data; Username and Password/Security Question Answers
5/7/21,Carnival Corporation,,1,Name; Social Security Number; Full Date of Birth; Passport Number; Medical Information; Other
5/7/21,"JHT Holdings, Inc.",3/4/21,511,Name; Social Security Number; Other
5/7/21,"Telmate, LLC",,4257,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
5/5/21,NEC Networks dba CaptureRx,2/6/21,126193,Name; Full Date of Birth; Medical Information
5/5/21,SEIU 775 Benefits Group,4/4/21,124760,Name; Social Security Number; Other
5/5/21,Timberland Regional Library,8/21/20,26209,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
5/4/21,Inventors Hall of Fame,1/27/21,685,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
5/3/21,"Divvy Up, Inc.",12/1/20,1012,Name; Financial & Banking Information
5/3/21,"Divvy Up, Inc.",12/1/20,1137,Name; Financial & Banking Information; Other
4/30/21,Kettle Cuisine,11/3/20,950,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number
4/29/21,Insurance Technologies Corporation,2/27/21,3925,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Username and Password/Security Question Answers
4/28/21,"ClearVoice Research.com, LLC",9/17/15,21564,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
4/28/21,Direct Relief,2/7/20,926,Name; Financial & Banking Information; Full Date of Birth; Other
4/26/21,Seattle Police Officers' Guild,3/6/21,1297,Name; Social Security Number; Full Date of Birth; Other
4/19/21,"Blade HQ, LLC",1/7/21,3090,Name; Financial & Banking Information; Other
4/15/21,"AmeriFirst Financial, Inc.",12/2/20,757,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
4/13/21,FloForm Industries LLC,,970,Name; Social Security Number; Other
4/13/21,University of Colorado,1/6/21,3511,Name; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information
4/9/21,American College of Emergency Physicians,4/8/20,4148,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
4/9/21,"McDougall & Sons, Inc.",,5885,Name; Social Security Number; Full Date of Birth
4/8/21,Nexelis Group,,957,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Passport Number; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers
4/8/21,MailMyPrescriptions.com,,507,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
4/7/21,American Society for Clinical Pathology,3/30/20,703,Name; Financial & Banking Information
4/6/21,Portland State University Foundation,5/26/20,4216,Name; Social Security Number; Full Date of Birth; Student ID Number; Other
4/6/21,Marines' Memorial Association & Foundation,2/7/20,2625,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Other
4/6/21,"Minnetonka Moccasin Company, Inc.",11/25/20,821,Name; Financial & Banking Information
4/4/21,"RXLTC, PLLC & Prescription Pharmacy, PLLC",10/6/20,560,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
4/2/21,"Slate & Tell, LLC",3/1/20,624,Name; Financial & Banking Information; Other
4/2/21,FPI Management,,1022,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Medical Information; Username and Password/Security Question Answers; Other
4/1/21,"MHNext, LLC",2/1/21,7714,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
3/30/21,Prime Therapeutics,1/22/21,6,Name; Full Date of Birth; Medical Information
3/24/21,National Wildlife Federation,2/6/19,3311,Name; Financial & Banking Information; Other
3/22/21,"On Q Fiancial, Inc.",2/22/21,18066,Name; Social Security Number; Other
3/19/21,Cancer Treatment Centers of America,1/12/21,579,Name; Health Insurance Policy or ID Number; Medical Information; Other
3/19/21,"Citywide Home Loans, LLC",11/18/20,2407,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Other
3/18/21,Manson Counstruction Co.,5/24/20,1049,Name; Social Security Number; Full Date of Birth; Other
3/17/21,PCS Revenue Control Systems,,11807,Name; Social Security Number; Full Date of Birth; Student ID Number
3/17/21,Western Union Retail Money Transfer Partner,12/24/20,1555,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
3/17/21,Automatic Funds Transfer Services Inc.,2/4/21,695,Name; Financial & Banking Information; Other
3/16/21,Infinity Insurance Company,,606,Name; Social Security Number; Driver's License or Washington ID Card Number
3/15/21,"Flagstar Bank, FSB",,61006,Name; Social Security Number; Full Date of Birth; Other
3/15/21,American Health Care Academy,,1211,Name; Financial & Banking Information
3/11/21,Perkins & Co,11/8/20,41871,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
3/11/21,Security Industry Specialists,,2264,Name; Financial & Banking Information
3/11/21,Pan-American Life Insurance Group,,599,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Other
3/10/21,"Mead Johnson & Company, LLC",11/7/20,2828,Name; Full Date of Birth
3/10/21,Public Utility District No. 1 of Skagit County,,23935,Name; Financial & Banking Information; Other
3/5/21,American Armed Forces Mutual Aid Association,1/28/21,4318,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/5/21,Ascentium Inc. and Ascentium Corp.,,172,Name; Social Security Number; Driver's License or Washington ID Card Number; Other
3/5/21,Metromile Insurance Company,12/1/20,1400,Name; Driver's License or Washington ID Card Number; Full Date of Birth
3/4/21,Americold Realty Trust,,3337,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Biometric Data; Username and Password/Security Question Answers; Other
3/2/21,Cardinal Logistics Management Corp.,,1308,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
3/2/21,Northshore Utility District,,4900,Name; Financial & Banking Information; Other
2/27/21,"Casemaker, LLC and Lawriter, LLC",7/1/20,1690,Name; Email Address and Password/Security Question Answers; Other
2/26/21,"BSN Sports, LLC",,523,Name; Financial & Banking Information
2/23/21,Washington Education Association & Seattle Education Association,,17415,Name; Social Security Number; Full Date of Birth; Other
2/23/21,Humana,10/12/20,675,Name; Social Security Number; Full Date of Birth; Medical Information; Other
2/23/21,Lakewood Water District,2/3/21,14877,Name; Financial & Banking Information; Other
2/19/21,The Kroger Co.,12/24/20,153800,Name; Social Security Number; Full Date of Birth; Medical Information; Other
2/19/21,Renton School District,4/5/20,771,Name; Other
2/18/21,"Lucid Lane, Inc.",12/18/20,4,Other
2/17/21,"Woodcreek Provider Services, LLC",12/3/20,25917,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
2/12/21,Washington State Auditor's Office,,1420520,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Other
2/10/21,"City of Ellensburg, Washington",,8523,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
2/2/21,The Brotherhood's Relief & Compensation Fund,1/3/21,1563,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
2/1/21,Gonzaga University,8/6/20,8041,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
1/29/21,Grays Harbor Community Hospital,5/6/19,4984,Name; Full Date of Birth; Medical Information
1/27/21,Absher Construction Company,8/28/20,1527,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
1/26/21,"Bosley, Inc.",,1936,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
1/26/21,thyssenkrupp Materials,12/28/20,1250,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
1/26/21,Puget Sound Educational Service District,4/5/20,32419,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Other
1/25/21,American Frame Corporation,,954,Name; Social Security Number; Financial & Banking Information; Other
1/25/21,Einstein Healthcare Network,8/5/20,1197,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/21/21,Cardinal Financial Company,11/8/20,925,Name; Full Date of Birth; Other
1/19/21,Helen Keller International,2/7/20,534,Name; Full Date of Birth
1/15/21,"Walla Walla County, WA",,577,Username and Password/Security Question Answers
1/14/21,National Western Life Insurance Company,,,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
1/13/21,Waters & Kraus LLP,12/5/19,522,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
1/13/21,North Park University,2/7/20,1239,Name; Full Date of Birth; Other
1/12/21,"National Board for Certified Counselors, Inc.",8/31/20,9898,Name; Social Security Number; Full Date of Birth; Other
1/11/21,Jefferson Healthcare,11/9/20,2496,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
1/11/21,"ALE Solutions, Inc.",4/1/20,736,Name; Social Security Number
1/8/21,North American Partners in Anesthesia,6/17/20,505,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information; Other
1/8/21,"US Fertility, LLC (Seattle Reproductive Medicine)",8/12/20,47952,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
1/8/21,Convoy of Hope,2/7/20,1017,Name; Full Date of Birth
1/5/21,Grinnell College,2/7/20,2465,Name; Full Date of Birth; Student ID Number
1/4/21,"Peter Pan Seafoods, Inc.",12/12/20,1661,Name; Social Security Number; Full Date of Birth; Other
12/31/20,"Life Quotes, Inc.",10/20/20,626,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
12/30/20,Zoetop Business Co. Ltd. (ROMWE),7/1/18,148785,Name; Username and Password/Security Question Answers; Other
12/30/20,International Union of Bricklayers and Allied Craftworkers,6/4/20,1053,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
12/28/20,Prime Therapeutics,11/30/20,897,Name; Medical Information
12/28/20,"Pulmonary Hypertension Association, Inc.",2/7/20,722,Name; Full Date of Birth
12/23/20,"Tree Top, Inc.",,9721,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
12/23/20,Bucknell University,2/7/20,710,Name; Full Date of Birth; Student ID Number; Other
12/23/20,"Metabolic Maintenance Products, Inc.",10/1/19,709,Name; Financial & Banking Information
12/22/20,Cedarville University,2/7/20,1706,Name; Full Date of Birth; Student ID Number; Other
12/18/20,Benton County of Washington,11/11/19,820,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
12/18/20,Washington State Bar Association,3/10/20,4051,Name; Financial & Banking Information
12/16/20,Paysafe Group Holdings Limited,5/13/18,1877,Name; Social Security Number; Financial & Banking Information; Other
12/16/20,Kappa Delta Foundation,2/7/20,1508,Name; Full Date of Birth; Other
12/16/20,"MEDNAX Services, Inc.",6/17/20,29861,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
12/11/20,Fairfield University,2/7/20,505,Name; Full Date of Birth
12/10/20,Oklahoma State University Foundation,2/7/20,1334,Name; Full Date of Birth; Other
12/9/20,City University of Seattle,,1097,Name; Driver's License or Washington ID Card Number; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
12/4/20,"USNR, LLC",9/28/20,1368,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
